,kd_regularization,diarization_error_rate,false_alarm
0,1,59.506319950950946,5.295002436713389
1,5,57.38807379052363,5.294007271055082
2,10,61.130545686829116,5.294079384508593
3,50,63.91908639754179,5.2952331997645965
4,100,64.1526907188107,5.294973591331992
5,500,60.41457447509663,5.296805273050902
6,1000,69.10788013994015,5.295348581290197
7,5000,58.03648911901702,5.295478385506497
8,10000,57.48353758026734,5.296574509999698
9,50000,54.71037145784082,5.295204354383198
10,100000,57.12770095531543,5.2976273664208
11,500000,57.3255225809575,5.297310067225401
12,1000000,58.7448451500598,5.296632200762504
